"obs_index","predicted_cluster","dataset","representation","method"
3,5,"breast_tissue","sparsified","kmeans"
4,5,"breast_tissue","sparsified","kmeans"
5,5,"breast_tissue","sparsified","kmeans"
6,5,"breast_tissue","sparsified","kmeans"
7,6,"breast_tissue","sparsified","kmeans"
8,6,"breast_tissue","sparsified","kmeans"
9,5,"breast_tissue","sparsified","kmeans"
10,5,"breast_tissue","sparsified","kmeans"
11,5,"breast_tissue","sparsified","kmeans"
12,5,"breast_tissue","sparsified","kmeans"
13,5,"breast_tissue","sparsified","kmeans"
14,5,"breast_tissue","sparsified","kmeans"
15,5,"breast_tissue","sparsified","kmeans"
16,5,"breast_tissue","sparsified","kmeans"
17,6,"breast_tissue","sparsified","kmeans"
18,5,"breast_tissue","sparsified","kmeans"
19,5,"breast_tissue","sparsified","kmeans"
20,5,"breast_tissue","sparsified","kmeans"
21,5,"breast_tissue","sparsified","kmeans"
22,1,"breast_tissue","sparsified","kmeans"
23,1,"breast_tissue","sparsified","kmeans"
24,6,"breast_tissue","sparsified","kmeans"
25,6,"breast_tissue","sparsified","kmeans"
26,1,"breast_tissue","sparsified","kmeans"
27,6,"breast_tissue","sparsified","kmeans"
28,6,"breast_tissue","sparsified","kmeans"
29,1,"breast_tissue","sparsified","kmeans"
30,6,"breast_tissue","sparsified","kmeans"
31,6,"breast_tissue","sparsified","kmeans"
32,6,"breast_tissue","sparsified","kmeans"
33,3,"breast_tissue","sparsified","kmeans"
34,6,"breast_tissue","sparsified","kmeans"
35,3,"breast_tissue","sparsified","kmeans"
36,1,"breast_tissue","sparsified","kmeans"
37,3,"breast_tissue","sparsified","kmeans"
38,3,"breast_tissue","sparsified","kmeans"
39,6,"breast_tissue","sparsified","kmeans"
40,1,"breast_tissue","sparsified","kmeans"
41,1,"breast_tissue","sparsified","kmeans"
42,3,"breast_tissue","sparsified","kmeans"
43,6,"breast_tissue","sparsified","kmeans"
44,6,"breast_tissue","sparsified","kmeans"
45,1,"breast_tissue","sparsified","kmeans"
46,1,"breast_tissue","sparsified","kmeans"
47,6,"breast_tissue","sparsified","kmeans"
48,6,"breast_tissue","sparsified","kmeans"
49,1,"breast_tissue","sparsified","kmeans"
50,6,"breast_tissue","sparsified","kmeans"
51,5,"breast_tissue","sparsified","kmeans"
52,6,"breast_tissue","sparsified","kmeans"
53,5,"breast_tissue","sparsified","kmeans"
54,6,"breast_tissue","sparsified","kmeans"
55,5,"breast_tissue","sparsified","kmeans"
56,3,"breast_tissue","sparsified","kmeans"
57,3,"breast_tissue","sparsified","kmeans"
58,1,"breast_tissue","sparsified","kmeans"
59,1,"breast_tissue","sparsified","kmeans"
60,3,"breast_tissue","sparsified","kmeans"
61,3,"breast_tissue","sparsified","kmeans"
62,1,"breast_tissue","sparsified","kmeans"
63,3,"breast_tissue","sparsified","kmeans"
64,3,"breast_tissue","sparsified","kmeans"
65,1,"breast_tissue","sparsified","kmeans"
66,6,"breast_tissue","sparsified","kmeans"
67,1,"breast_tissue","sparsified","kmeans"
68,1,"breast_tissue","sparsified","kmeans"
69,1,"breast_tissue","sparsified","kmeans"
70,3,"breast_tissue","sparsified","kmeans"
71,2,"breast_tissue","sparsified","kmeans"
72,2,"breast_tissue","sparsified","kmeans"
73,2,"breast_tissue","sparsified","kmeans"
74,5,"breast_tissue","sparsified","kmeans"
75,2,"breast_tissue","sparsified","kmeans"
76,1,"breast_tissue","sparsified","kmeans"
77,6,"breast_tissue","sparsified","kmeans"
78,1,"breast_tissue","sparsified","kmeans"
79,2,"breast_tissue","sparsified","kmeans"
80,2,"breast_tissue","sparsified","kmeans"
81,2,"breast_tissue","sparsified","kmeans"
82,2,"breast_tissue","sparsified","kmeans"
83,2,"breast_tissue","sparsified","kmeans"
84,2,"breast_tissue","sparsified","kmeans"
85,2,"breast_tissue","sparsified","kmeans"
86,2,"breast_tissue","sparsified","kmeans"
87,4,"breast_tissue","sparsified","kmeans"
88,2,"breast_tissue","sparsified","kmeans"
89,2,"breast_tissue","sparsified","kmeans"
90,2,"breast_tissue","sparsified","kmeans"
91,2,"breast_tissue","sparsified","kmeans"
92,4,"breast_tissue","sparsified","kmeans"
93,2,"breast_tissue","sparsified","kmeans"
94,2,"breast_tissue","sparsified","kmeans"
95,2,"breast_tissue","sparsified","kmeans"
96,2,"breast_tissue","sparsified","kmeans"
97,2,"breast_tissue","sparsified","kmeans"
98,4,"breast_tissue","sparsified","kmeans"
99,4,"breast_tissue","sparsified","kmeans"
100,4,"breast_tissue","sparsified","kmeans"
101,2,"breast_tissue","sparsified","kmeans"
102,4,"breast_tissue","sparsified","kmeans"
103,4,"breast_tissue","sparsified","kmeans"
104,2,"breast_tissue","sparsified","kmeans"
105,2,"breast_tissue","sparsified","kmeans"
106,4,"breast_tissue","sparsified","kmeans"
1,1,"hcv","original","kmeans"
2,1,"hcv","original","kmeans"
3,2,"hcv","original","kmeans"
4,1,"hcv","original","kmeans"
5,1,"hcv","original","kmeans"
6,2,"hcv","original","kmeans"
7,1,"hcv","original","kmeans"
8,1,"hcv","original","kmeans"
9,1,"hcv","original","kmeans"
10,1,"hcv","original","kmeans"
11,1,"hcv","original","kmeans"
12,1,"hcv","original","kmeans"
13,1,"hcv","original","kmeans"
14,1,"hcv","original","kmeans"
15,1,"hcv","original","kmeans"
16,1,"hcv","original","kmeans"
17,1,"hcv","original","kmeans"
18,2,"hcv","original","kmeans"
19,1,"hcv","original","kmeans"
20,1,"hcv","original","kmeans"
21,1,"hcv","original","kmeans"
22,1,"hcv","original","kmeans"
23,2,"hcv","original","kmeans"
24,1,"hcv","original","kmeans"
25,1,"hcv","original","kmeans"
26,2,"hcv","original","kmeans"
27,1,"hcv","original","kmeans"
28,1,"hcv","original","kmeans"
29,1,"hcv","original","kmeans"
30,1,"hcv","original","kmeans"
31,2,"hcv","original","kmeans"
32,1,"hcv","original","kmeans"
33,1,"hcv","original","kmeans"
34,2,"hcv","original","kmeans"
35,1,"hcv","original","kmeans"
36,2,"hcv","original","kmeans"
37,1,"hcv","original","kmeans"
38,1,"hcv","original","kmeans"
39,2,"hcv","original","kmeans"
40,1,"hcv","original","kmeans"
41,2,"hcv","original","kmeans"
42,2,"hcv","original","kmeans"
43,1,"hcv","original","kmeans"
44,1,"hcv","original","kmeans"
45,1,"hcv","original","kmeans"
46,2,"hcv","original","kmeans"
47,1,"hcv","original","kmeans"
48,2,"hcv","original","kmeans"
49,2,"hcv","original","kmeans"
50,2,"hcv","original","kmeans"
51,1,"hcv","original","kmeans"
52,1,"hcv","original","kmeans"
53,2,"hcv","original","kmeans"
54,1,"hcv","original","kmeans"
55,2,"hcv","original","kmeans"
56,2,"hcv","original","kmeans"
57,1,"hcv","original","kmeans"
58,2,"hcv","original","kmeans"
59,1,"hcv","original","kmeans"
60,1,"hcv","original","kmeans"
61,2,"hcv","original","kmeans"
62,1,"hcv","original","kmeans"
63,2,"hcv","original","kmeans"
64,1,"hcv","original","kmeans"
65,2,"hcv","original","kmeans"
66,1,"hcv","original","kmeans"
67,1,"hcv","original","kmeans"
68,2,"hcv","original","kmeans"
69,2,"hcv","original","kmeans"
70,1,"hcv","original","kmeans"
71,1,"hcv","original","kmeans"
72,2,"hcv","original","kmeans"
73,2,"hcv","original","kmeans"
74,2,"hcv","original","kmeans"
75,1,"hcv","original","kmeans"
76,1,"hcv","original","kmeans"
77,1,"hcv","original","kmeans"
78,2,"hcv","original","kmeans"
79,2,"hcv","original","kmeans"
80,2,"hcv","original","kmeans"
81,1,"hcv","original","kmeans"
82,2,"hcv","original","kmeans"
83,2,"hcv","original","kmeans"
84,1,"hcv","original","kmeans"
85,2,"hcv","original","kmeans"
86,2,"hcv","original","kmeans"
87,1,"hcv","original","kmeans"
88,2,"hcv","original","kmeans"
89,2,"hcv","original","kmeans"
90,2,"hcv","original","kmeans"
91,1,"hcv","original","kmeans"
92,2,"hcv","original","kmeans"
93,2,"hcv","original","kmeans"
94,1,"hcv","original","kmeans"
95,1,"hcv","original","kmeans"
96,2,"hcv","original","kmeans"
97,1,"hcv","original","kmeans"
98,2,"hcv","original","kmeans"
99,2,"hcv","original","kmeans"
100,1,"hcv","original","kmeans"
101,2,"hcv","original","kmeans"
102,1,"hcv","original","kmeans"
103,1,"hcv","original","kmeans"
104,1,"hcv","original","kmeans"
105,2,"hcv","original","kmeans"
106,2,"hcv","original","kmeans"
107,1,"hcv","original","kmeans"
108,1,"hcv","original","kmeans"
109,2,"hcv","original","kmeans"
110,2,"hcv","original","kmeans"
111,2,"hcv","original","kmeans"
112,2,"hcv","original","kmeans"
113,1,"hcv","original","kmeans"
114,2,"hcv","original","kmeans"
115,2,"hcv","original","kmeans"
116,1,"hcv","original","kmeans"
117,2,"hcv","original","kmeans"
118,1,"hcv","original","kmeans"
119,2,"hcv","original","kmeans"
120,2,"hcv","original","kmeans"
121,1,"hcv","original","kmeans"
122,1,"hcv","original","kmeans"
123,1,"hcv","original","kmeans"
124,2,"hcv","original","kmeans"
125,1,"hcv","original","kmeans"
126,2,"hcv","original","kmeans"
127,2,"hcv","original","kmeans"
128,1,"hcv","original","kmeans"
129,2,"hcv","original","kmeans"
130,1,"hcv","original","kmeans"
131,1,"hcv","original","kmeans"
132,1,"hcv","original","kmeans"
133,1,"hcv","original","kmeans"
134,2,"hcv","original","kmeans"
135,2,"hcv","original","kmeans"
136,1,"hcv","original","kmeans"
137,2,"hcv","original","kmeans"
138,1,"hcv","original","kmeans"
139,2,"hcv","original","kmeans"
140,2,"hcv","original","kmeans"
141,2,"hcv","original","kmeans"
142,1,"hcv","original","kmeans"
143,2,"hcv","original","kmeans"
144,1,"hcv","original","kmeans"
145,2,"hcv","original","kmeans"
146,1,"hcv","original","kmeans"
147,2,"hcv","original","kmeans"
148,1,"hcv","original","kmeans"
149,1,"hcv","original","kmeans"
150,1,"hcv","original","kmeans"
151,1,"hcv","original","kmeans"
152,1,"hcv","original","kmeans"
153,1,"hcv","original","kmeans"
154,2,"hcv","original","kmeans"
155,1,"hcv","original","kmeans"
156,1,"hcv","original","kmeans"
157,1,"hcv","original","kmeans"
158,1,"hcv","original","kmeans"
159,2,"hcv","original","kmeans"
160,2,"hcv","original","kmeans"
161,2,"hcv","original","kmeans"
162,1,"hcv","original","kmeans"
163,1,"hcv","original","kmeans"
164,2,"hcv","original","kmeans"
165,1,"hcv","original","kmeans"
166,1,"hcv","original","kmeans"
167,2,"hcv","original","kmeans"
168,1,"hcv","original","kmeans"
169,2,"hcv","original","kmeans"
170,1,"hcv","original","kmeans"
171,1,"hcv","original","kmeans"
172,1,"hcv","original","kmeans"
173,2,"hcv","original","kmeans"
174,2,"hcv","original","kmeans"
175,2,"hcv","original","kmeans"
176,2,"hcv","original","kmeans"
177,1,"hcv","original","kmeans"
178,2,"hcv","original","kmeans"
179,1,"hcv","original","kmeans"
180,1,"hcv","original","kmeans"
181,1,"hcv","original","kmeans"
182,2,"hcv","original","kmeans"
183,2,"hcv","original","kmeans"
184,2,"hcv","original","kmeans"
185,2,"hcv","original","kmeans"
186,2,"hcv","original","kmeans"
187,1,"hcv","original","kmeans"
188,1,"hcv","original","kmeans"
189,1,"hcv","original","kmeans"
190,2,"hcv","original","kmeans"
191,1,"hcv","original","kmeans"
192,1,"hcv","original","kmeans"
193,1,"hcv","original","kmeans"
194,2,"hcv","original","kmeans"
195,2,"hcv","original","kmeans"
196,2,"hcv","original","kmeans"
197,1,"hcv","original","kmeans"
198,2,"hcv","original","kmeans"
199,1,"hcv","original","kmeans"
200,1,"hcv","original","kmeans"
201,2,"hcv","original","kmeans"
202,1,"hcv","original","kmeans"
203,1,"hcv","original","kmeans"
204,1,"hcv","original","kmeans"
205,1,"hcv","original","kmeans"
206,2,"hcv","original","kmeans"
207,1,"hcv","original","kmeans"
208,1,"hcv","original","kmeans"
209,2,"hcv","original","kmeans"
210,2,"hcv","original","kmeans"
211,1,"hcv","original","kmeans"
212,2,"hcv","original","kmeans"
213,2,"hcv","original","kmeans"
214,1,"hcv","original","kmeans"
215,2,"hcv","original","kmeans"
216,2,"hcv","original","kmeans"
217,2,"hcv","original","kmeans"
218,1,"hcv","original","kmeans"
219,2,"hcv","original","kmeans"
220,2,"hcv","original","kmeans"
221,1,"hcv","original","kmeans"
222,2,"hcv","original","kmeans"
223,1,"hcv","original","kmeans"
224,2,"hcv","original","kmeans"
225,2,"hcv","original","kmeans"
226,1,"hcv","original","kmeans"
227,2,"hcv","original","kmeans"
228,1,"hcv","original","kmeans"
229,1,"hcv","original","kmeans"
230,1,"hcv","original","kmeans"
231,1,"hcv","original","kmeans"
232,2,"hcv","original","kmeans"
233,2,"hcv","original","kmeans"
234,1,"hcv","original","kmeans"
235,1,"hcv","original","kmeans"
236,2,"hcv","original","kmeans"
237,2,"hcv","original","kmeans"
238,2,"hcv","original","kmeans"
239,2,"hcv","original","kmeans"
240,2,"hcv","original","kmeans"
241,1,"hcv","original","kmeans"
242,2,"hcv","original","kmeans"
243,2,"hcv","original","kmeans"
244,2,"hcv","original","kmeans"
245,2,"hcv","original","kmeans"
246,1,"hcv","original","kmeans"
247,2,"hcv","original","kmeans"
248,2,"hcv","original","kmeans"
249,1,"hcv","original","kmeans"
250,1,"hcv","original","kmeans"
251,1,"hcv","original","kmeans"
252,1,"hcv","original","kmeans"
253,2,"hcv","original","kmeans"
254,1,"hcv","original","kmeans"
255,1,"hcv","original","kmeans"
256,2,"hcv","original","kmeans"
257,1,"hcv","original","kmeans"
258,1,"hcv","original","kmeans"
259,2,"hcv","original","kmeans"
260,2,"hcv","original","kmeans"
261,2,"hcv","original","kmeans"
262,1,"hcv","original","kmeans"
263,2,"hcv","original","kmeans"
264,2,"hcv","original","kmeans"
265,2,"hcv","original","kmeans"
266,1,"hcv","original","kmeans"
267,1,"hcv","original","kmeans"
268,1,"hcv","original","kmeans"
269,1,"hcv","original","kmeans"
270,1,"hcv","original","kmeans"
271,1,"hcv","original","kmeans"
272,1,"hcv","original","kmeans"
273,1,"hcv","original","kmeans"
274,2,"hcv","original","kmeans"
275,1,"hcv","original","kmeans"
276,2,"hcv","original","kmeans"
277,1,"hcv","original","kmeans"
278,1,"hcv","original","kmeans"
279,1,"hcv","original","kmeans"
280,1,"hcv","original","kmeans"
281,1,"hcv","original","kmeans"
282,1,"hcv","original","kmeans"
283,1,"hcv","original","kmeans"
284,2,"hcv","original","kmeans"
285,2,"hcv","original","kmeans"
286,1,"hcv","original","kmeans"
287,1,"hcv","original","kmeans"
288,2,"hcv","original","kmeans"
289,1,"hcv","original","kmeans"
290,2,"hcv","original","kmeans"
291,1,"hcv","original","kmeans"
292,1,"hcv","original","kmeans"
293,1,"hcv","original","kmeans"
294,2,"hcv","original","kmeans"
295,1,"hcv","original","kmeans"
296,1,"hcv","original","kmeans"
297,2,"hcv","original","kmeans"
298,1,"hcv","original","kmeans"
299,1,"hcv","original","kmeans"
300,2,"hcv","original","kmeans"
301,2,"hcv","original","kmeans"
302,1,"hcv","original","kmeans"
303,1,"hcv","original","kmeans"
304,1,"hcv","original","kmeans"
305,2,"hcv","original","kmeans"
306,2,"hcv","original","kmeans"
307,2,"hcv","original","kmeans"
308,2,"hcv","original","kmeans"
309,2,"hcv","original","kmeans"
310,1,"hcv","original","kmeans"
311,2,"hcv","original","kmeans"
312,1,"hcv","original","kmeans"
313,1,"hcv","original","kmeans"
314,1,"hcv","original","kmeans"
315,2,"hcv","original","kmeans"
316,1,"hcv","original","kmeans"
317,1,"hcv","original","kmeans"
318,1,"hcv","original","kmeans"
319,3,"hcv","original","kmeans"
320,3,"hcv","original","kmeans"
321,3,"hcv","original","kmeans"
322,3,"hcv","original","kmeans"
323,3,"hcv","original","kmeans"
324,3,"hcv","original","kmeans"
325,3,"hcv","original","kmeans"
326,3,"hcv","original","kmeans"
327,3,"hcv","original","kmeans"
328,3,"hcv","original","kmeans"
329,3,"hcv","original","kmeans"
330,3,"hcv","original","kmeans"
331,3,"hcv","original","kmeans"
332,3,"hcv","original","kmeans"
333,3,"hcv","original","kmeans"
334,3,"hcv","original","kmeans"
335,3,"hcv","original","kmeans"
336,3,"hcv","original","kmeans"
337,3,"hcv","original","kmeans"
338,3,"hcv","original","kmeans"
339,3,"hcv","original","kmeans"
340,3,"hcv","original","kmeans"
341,3,"hcv","original","kmeans"
342,3,"hcv","original","kmeans"
343,3,"hcv","original","kmeans"
344,3,"hcv","original","kmeans"
345,3,"hcv","original","kmeans"
346,3,"hcv","original","kmeans"
347,3,"hcv","original","kmeans"
348,3,"hcv","original","kmeans"
349,3,"hcv","original","kmeans"
350,3,"hcv","original","kmeans"
351,3,"hcv","original","kmeans"
352,3,"hcv","original","kmeans"
353,3,"hcv","original","kmeans"
354,3,"hcv","original","kmeans"
355,3,"hcv","original","kmeans"
356,3,"hcv","original","kmeans"
357,3,"hcv","original","kmeans"
358,3,"hcv","original","kmeans"
359,3,"hcv","original","kmeans"
360,3,"hcv","original","kmeans"
361,3,"hcv","original","kmeans"
362,3,"hcv","original","kmeans"
363,3,"hcv","original","kmeans"
364,3,"hcv","original","kmeans"
365,3,"hcv","original","kmeans"
366,3,"hcv","original","kmeans"
367,3,"hcv","original","kmeans"
368,3,"hcv","original","kmeans"
369,3,"hcv","original","kmeans"
370,3,"hcv","original","kmeans"
371,3,"hcv","original","kmeans"
372,3,"hcv","original","kmeans"
373,3,"hcv","original","kmeans"
374,3,"hcv","original","kmeans"
375,3,"hcv","original","kmeans"
376,3,"hcv","original","kmeans"
377,3,"hcv","original","kmeans"
378,3,"hcv","original","kmeans"
379,3,"hcv","original","kmeans"
380,3,"hcv","original","kmeans"
381,3,"hcv","original","kmeans"
382,3,"hcv","original","kmeans"
383,3,"hcv","original","kmeans"
384,3,"hcv","original","kmeans"
385,3,"hcv","original","kmeans"
386,3,"hcv","original","kmeans"
387,3,"hcv","original","kmeans"
388,3,"hcv","original","kmeans"
389,3,"hcv","original","kmeans"
390,3,"hcv","original","kmeans"
391,3,"hcv","original","kmeans"
392,3,"hcv","original","kmeans"
393,3,"hcv","original","kmeans"
394,3,"hcv","original","kmeans"
395,3,"hcv","original","kmeans"
396,3,"hcv","original","kmeans"
397,3,"hcv","original","kmeans"
398,3,"hcv","original","kmeans"
399,3,"hcv","original","kmeans"
400,3,"hcv","original","kmeans"
401,3,"hcv","original","kmeans"
402,3,"hcv","original","kmeans"
403,3,"hcv","original","kmeans"
404,3,"hcv","original","kmeans"
405,3,"hcv","original","kmeans"
406,3,"hcv","original","kmeans"
407,3,"hcv","original","kmeans"
408,3,"hcv","original","kmeans"
409,3,"hcv","original","kmeans"
410,3,"hcv","original","kmeans"
411,3,"hcv","original","kmeans"
412,3,"hcv","original","kmeans"
413,3,"hcv","original","kmeans"
414,3,"hcv","original","kmeans"
415,3,"hcv","original","kmeans"
416,3,"hcv","original","kmeans"
417,3,"hcv","original","kmeans"
418,3,"hcv","original","kmeans"
419,3,"hcv","original","kmeans"
420,3,"hcv","original","kmeans"
421,3,"hcv","original","kmeans"
422,3,"hcv","original","kmeans"
423,3,"hcv","original","kmeans"
424,3,"hcv","original","kmeans"
425,3,"hcv","original","kmeans"
426,3,"hcv","original","kmeans"
427,3,"hcv","original","kmeans"
428,3,"hcv","original","kmeans"
429,3,"hcv","original","kmeans"
430,3,"hcv","original","kmeans"
431,3,"hcv","original","kmeans"
432,3,"hcv","original","kmeans"
433,3,"hcv","original","kmeans"
434,3,"hcv","original","kmeans"
435,3,"hcv","original","kmeans"
436,3,"hcv","original","kmeans"
437,3,"hcv","original","kmeans"
438,3,"hcv","original","kmeans"
439,3,"hcv","original","kmeans"
440,3,"hcv","original","kmeans"
441,3,"hcv","original","kmeans"
442,3,"hcv","original","kmeans"
443,3,"hcv","original","kmeans"
444,3,"hcv","original","kmeans"
445,3,"hcv","original","kmeans"
446,3,"hcv","original","kmeans"
447,3,"hcv","original","kmeans"
448,3,"hcv","original","kmeans"
449,3,"hcv","original","kmeans"
450,3,"hcv","original","kmeans"
451,3,"hcv","original","kmeans"
452,3,"hcv","original","kmeans"
453,3,"hcv","original","kmeans"
454,3,"hcv","original","kmeans"
455,3,"hcv","original","kmeans"
456,3,"hcv","original","kmeans"
457,3,"hcv","original","kmeans"
458,3,"hcv","original","kmeans"
459,3,"hcv","original","kmeans"
460,3,"hcv","original","kmeans"
461,3,"hcv","original","kmeans"
462,3,"hcv","original","kmeans"
463,3,"hcv","original","kmeans"
464,3,"hcv","original","kmeans"
465,3,"hcv","original","kmeans"
466,3,"hcv","original","kmeans"
467,3,"hcv","original","kmeans"
468,3,"hcv","original","kmeans"
469,3,"hcv","original","kmeans"
470,3,"hcv","original","kmeans"
471,3,"hcv","original","kmeans"
472,3,"hcv","original","kmeans"
473,3,"hcv","original","kmeans"
474,3,"hcv","original","kmeans"
475,3,"hcv","original","kmeans"
476,3,"hcv","original","kmeans"
477,3,"hcv","original","kmeans"
478,3,"hcv","original","kmeans"
479,3,"hcv","original","kmeans"
480,3,"hcv","original","kmeans"
481,3,"hcv","original","kmeans"
482,3,"hcv","original","kmeans"
483,3,"hcv","original","kmeans"
484,3,"hcv","original","kmeans"
485,3,"hcv","original","kmeans"
486,3,"hcv","original","kmeans"
487,3,"hcv","original","kmeans"
488,3,"hcv","original","kmeans"
489,3,"hcv","original","kmeans"
490,3,"hcv","original","kmeans"
491,3,"hcv","original","kmeans"
492,3,"hcv","original","kmeans"
493,3,"hcv","original","kmeans"
494,3,"hcv","original","kmeans"
495,3,"hcv","original","kmeans"
496,3,"hcv","original","kmeans"
497,3,"hcv","original","kmeans"
498,3,"hcv","original","kmeans"
499,3,"hcv","original","kmeans"
500,3,"hcv","original","kmeans"
501,3,"hcv","original","kmeans"
502,3,"hcv","original","kmeans"
503,3,"hcv","original","kmeans"
504,3,"hcv","original","kmeans"
505,3,"hcv","original","kmeans"
506,3,"hcv","original","kmeans"
507,3,"hcv","original","kmeans"
508,3,"hcv","original","kmeans"
509,3,"hcv","original","kmeans"
510,3,"hcv","original","kmeans"
511,3,"hcv","original","kmeans"
512,3,"hcv","original","kmeans"
513,3,"hcv","original","kmeans"
514,3,"hcv","original","kmeans"
515,3,"hcv","original","kmeans"
516,3,"hcv","original","kmeans"
517,3,"hcv","original","kmeans"
518,3,"hcv","original","kmeans"
519,3,"hcv","original","kmeans"
520,3,"hcv","original","kmeans"
521,3,"hcv","original","kmeans"
522,3,"hcv","original","kmeans"
523,3,"hcv","original","kmeans"
524,3,"hcv","original","kmeans"
525,3,"hcv","original","kmeans"
526,3,"hcv","original","kmeans"
527,3,"hcv","original","kmeans"
528,3,"hcv","original","kmeans"
529,3,"hcv","original","kmeans"
530,3,"hcv","original","kmeans"
531,3,"hcv","original","kmeans"
532,3,"hcv","original","kmeans"
533,3,"hcv","original","kmeans"
534,5,"hcv","original","kmeans"
535,1,"hcv","original","kmeans"
536,1,"hcv","original","kmeans"
537,2,"hcv","original","kmeans"
538,1,"hcv","original","kmeans"
539,5,"hcv","original","kmeans"
540,5,"hcv","original","kmeans"
541,1,"hcv","original","kmeans"
542,1,"hcv","original","kmeans"
543,1,"hcv","original","kmeans"
544,1,"hcv","original","kmeans"
545,1,"hcv","original","kmeans"
546,2,"hcv","original","kmeans"
547,2,"hcv","original","kmeans"
548,2,"hcv","original","kmeans"
549,2,"hcv","original","kmeans"
550,1,"hcv","original","kmeans"
551,1,"hcv","original","kmeans"
552,2,"hcv","original","kmeans"
