"omitted_year","algorithm","fit_ok","kendall_tau_b","full_first_entry_set","loyo_first_entry_set","first_entry_set_same","top3_set_jaccard","mean_absolute_rank_change","max_absolute_rank_change","full_entry_order","loyo_entry_order","full_rank_x1","loyo_rank_x1","rank_change_x1","full_rank_x2","loyo_rank_x2","rank_change_x2","full_rank_x3","loyo_rank_x3","rank_change_x3","full_rank_x4","loyo_rank_x4","rank_change_x4","full_rank_x5","loyo_rank_x5","rank_change_x5","full_rank_x6","loyo_rank_x6","rank_change_x6","full_rank_x7","loyo_rank_x7","rank_change_x7"
2003,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2003,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2004,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2004,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2004,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2005,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2005,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2005,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2006,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2006,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2006,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2007,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2007,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2007,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2008,"Lasso",TRUE,0.904761904761905,"x7","x7",TRUE,1,0.285714285714286,1,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x2(5) > x6(6) > x1(7)",7,7,0,6,5,-1,4,4,0,3,3,0,2,2,0,5,6,1,1,1,0
2008,"Lars",TRUE,0.904761904761905,"x7","x7",TRUE,1,0.285714285714286,1,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x2(5) > x6(6) > x1(7)",7,7,0,6,5,-1,4,4,0,3,3,0,2,2,0,5,6,1,1,1,0
2008,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2009,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2009,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2009,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2010,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2010,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2010,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2011,"Lasso",TRUE,0.80952380952381,"x7","x7",TRUE,1,0.571428571428571,2,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x2(5) > x1(6) > x6(7)",7,6,-1,6,5,-1,4,4,0,3,3,0,2,2,0,5,7,2,1,1,0
2011,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2011,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2012,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2012,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2012,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2013,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2013,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2013,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2014,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2014,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2014,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2015,"Lasso",TRUE,0.80952380952381,"x7","x7",TRUE,0.5,0.571428571428571,2,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x6(3) > x4(4) > x3(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,5,1,3,4,1,2,2,0,5,3,-2,1,1,0
2015,"Lars",TRUE,0.80952380952381,"x7","x7",TRUE,0.5,0.571428571428571,2,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x6(3) > x4(4) > x3(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,5,1,3,4,1,2,2,0,5,3,-2,1,1,0
2015,"Glmnet",TRUE,0.79115480528524,"x7","x7",TRUE,0.5,0.714285714285714,1,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x6(3) > x4(4) > x1(5) > x2(5) > x3(5)",4,5,1,4,5,1,4,5,1,3,4,1,2,2,0,4,3,-1,1,1,0
2016,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2016,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2016,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2017,"Lasso",TRUE,0.904761904761905,"x7","x7",TRUE,1,0.285714285714286,1,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x2(5) > x6(6) > x1(7)",7,7,0,6,5,-1,4,4,0,3,3,0,2,2,0,5,6,1,1,1,0
2017,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2017,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2018,"Lasso",TRUE,0.714285714285714,"x7","x7",TRUE,0.5,0.857142857142857,3,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x6(2) > x5(3) > x4(4) > x3(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,5,1,3,4,1,2,3,1,5,2,-3,1,1,0
2018,"Lars",TRUE,0.714285714285714,"x7","x7",TRUE,0.5,0.857142857142857,3,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x6(2) > x5(3) > x4(4) > x3(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,5,1,3,4,1,2,3,1,5,2,-3,1,1,0
2018,"Glmnet",TRUE,0.669438681395203,"x7","x7",TRUE,0.5,1,2,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x6(2) > x5(3) > x4(4) > x1(5) > x2(5) > x3(5)",4,5,1,4,5,1,4,5,1,3,4,1,2,3,1,4,2,-2,1,1,0
2019,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2019,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2019,"Glmnet",TRUE,0.79115480528524,"x7","x7",TRUE,0.5,0.714285714285714,1,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x6(3) > x4(4) > x1(5) > x2(5) > x3(5)",4,5,1,4,5,1,4,5,1,3,4,1,2,2,0,4,3,-1,1,1,0
2020,"Lasso",TRUE,0.523809523809524,"x7","x7",TRUE,0.5,1.42857142857143,3,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x2(3) > x4(4) > x1(5) > x3(6) > x6(7)",7,5,-2,6,3,-3,4,6,2,3,4,1,2,2,0,5,7,2,1,1,0
2020,"Lars",TRUE,0.523809523809524,"x7","x7",TRUE,0.5,1.42857142857143,3,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x2(3) > x4(4) > x1(5) > x3(6) > x6(7)",7,5,-2,6,3,-3,4,6,2,3,4,1,2,2,0,5,7,2,1,1,0
2020,"Glmnet",TRUE,0.651583765535002,"x7","x7",TRUE,0.4,1.14285714285714,2,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x1(3) > x2(3) > x4(5) > x3(6) > x6(6)",4,3,-1,4,3,-1,4,6,2,3,5,2,2,2,0,4,6,2,1,1,0
2021,"Lasso",TRUE,0.904761904761905,"x7","x7",TRUE,1,0.285714285714286,1,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x2(5) > x6(6) > x1(7)",7,7,0,6,5,-1,4,4,0,3,3,0,2,2,0,5,6,1,1,1,0
2021,"Lars",TRUE,0.904761904761905,"x7","x7",TRUE,1,0.285714285714286,1,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x2(5) > x6(6) > x1(7)",7,7,0,6,5,-1,4,4,0,3,3,0,2,2,0,5,6,1,1,1,0
2021,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2022,"Lasso",TRUE,0.80952380952381,"x7","x7",TRUE,0.5,0.571428571428571,2,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x6(3) > x4(4) > x3(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,5,1,3,4,1,2,2,0,5,3,-2,1,1,0
2022,"Lars",TRUE,0.80952380952381,"x7","x7",TRUE,0.5,0.571428571428571,2,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x6(3) > x4(4) > x3(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,5,1,3,4,1,2,2,0,5,3,-2,1,1,0
2022,"Glmnet",TRUE,0.912870929175277,"x7","x7",TRUE,1,0.428571428571429,1,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x6(4) > x1(5) > x2(5) > x3(5)",4,5,1,4,5,1,4,5,1,3,3,0,2,2,0,4,4,0,1,1,0
2023,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2023,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2023,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
